Gene	sgRNA	mock_day12|beta	mock_day12|z	mock_day12|p-value	mock_day12|fdr	mock_day12|wald-p-value	mock_day12|wald-fdr	myci_Day12|beta	myci_Day12|z	myci_Day12|p-value	myci_Day12|fdr	myci_Day12|wald-p-value	myci_Day12|wald-fdr	z_Difference	beta_difference
Micu3	5	0.24512	0.94722	0.090321	0.49943	0.34353	0.79266	0.34596	1.3382	0.031545	0.29662	0.18084	0.71581	0.39098	0.10084
Emd	5	0.15936	1.04	0.26105	0.77786	0.29832	0.78169	0.2602	1.6985	0.095715	0.52547	0.089416	0.57768	0.6585	0.10084
Insr	5	0.21579	1.2949	0.13332	0.5895	0.19535	0.73155	0.31663	1.9001	0.047678	0.37556	0.057415	0.44731	0.6052	0.10084
Hey2	5	-0.024805	-0.11715	0.94051	0.99926	0.90674	0.97408	0.076043	0.35944	0.56833	0.95675	0.71926	0.90766	0.47659	0.100848
Thbs3	5	0.038082	0.13345	0.68984	0.9751	0.89384	0.97036	0.13898	0.48711	0.35301	0.86515	0.62618	0.87591	0.35366	0.100898
Psd4	5	0.084907	0.26175	0.50062	0.9203	0.79352	0.94172	0.18583	0.57361	0.22015	0.73575	0.56623	0.85165	0.31186	0.100923
Olfr1331	2	-0.0882	-0.67854	0.75683	0.98338	0.49743	0.84708	0.01275	0.098121	0.96727	0.99816	0.92184	0.9775	0.776661	0.10095
Vwa8	5	0.047657	0.28636	0.6493	0.96495	0.7746	0.93552	0.14861	0.89312	0.32388	0.84436	0.37179	0.77448	0.60676	0.100953
Klf3	5	-0.085676	-0.47326	0.84756	0.99117	0.63603	0.89297	0.015289	0.084478	0.80636	0.99168	0.93268	0.98102	0.557738	0.100965
Elac1	5	-0.044651	-0.42457	0.9887	0.99969	0.67115	0.90385	0.056314	0.53568	0.64473	0.97219	0.59218	0.86304	0.96025	0.100965
Slc14a2	5	-0.12662	-1.3663	0.72755	0.97886	0.17186	0.72306	-0.025634	-0.27664	0.9644	0.99816	0.78205	0.93146	1.08966	0.100986
Dock3	5	0.092002	0.61567	0.47667	0.91429	0.53811	0.85882	0.19299	1.2915	0.20361	0.71416	0.19652	0.7266	0.67583	0.100988
S1pr3	5	0.10589	0.66592	0.42699	0.88983	0.50546	0.84966	0.20688	1.3022	0.17633	0.68196	0.19286	0.72543	0.63628	0.10099
Cyp2d37-ps	1	0.33709	0.55678	0.30184	0.8137	0.57768	0.87157	0.43814	0.7237	0.19955	0.70915	0.46925	0.81218	0.16692	0.10105
Anks3	5	-0.15395	-0.77807	0.65778	0.96707	0.43653	0.82378	-0.052877	-0.2679	0.94148	0.99668	0.78877	0.93409	0.51017	0.101073
Zfp318	5	0.12139	0.42062	0.37392	0.86041	0.67403	0.90463	0.22247	0.77201	0.1473	0.62956	0.44011	0.79871	0.35139	0.10108
Rslcan18	5	-0.11317	-0.8097	0.76433	0.98545	0.41812	0.81691	-0.012002	-0.085914	0.90988	0.99417	0.93153	0.98042	0.723786	0.101168
Nktr	5	0.18657	0.80528	0.19261	0.69522	0.42066	0.81787	0.28775	1.2422	0.066841	0.43761	0.21416	0.72877	0.43692	0.10118
Lurap1l	5	0.035468	0.39382	0.70114	0.97702	0.69371	0.91037	0.13669	1.5189	0.36097	0.87045	0.12879	0.67026	1.12508	0.101222
Emc7	5	-0.14528	-0.76049	0.679	0.97465	0.44696	0.82886	-0.044039	-0.23059	0.97025	0.99816	0.81763	0.9442	0.5299	0.101241
Tmem231	5	0.048068	0.44251	0.64755	0.96443	0.65812	0.89897	0.14933	1.3751	0.32177	0.84252	0.1691	0.70263	0.93259	0.101262
Inpp5d	5	-0.18023	-1.1217	0.59988	0.95611	0.26201	0.76663	-0.078947	-0.49156	0.85537	0.99376	0.62303	0.87494	0.63014	0.101283
Tap2	5	0.14002	1.0136	0.31658	0.82645	0.31077	0.7836	0.24131	1.7475	0.11991	0.58292	0.080558	0.55069	0.7339	0.10129
Col23a1	5	-0.0032422	-0.027521	0.85491	0.99148	0.97804	0.99413	0.098077	0.83263	0.48803	0.93146	0.40505	0.7867	0.860151	0.1013192
H2-M10.5	5	0.23722	1.2341	0.099723	0.52163	0.21715	0.74863	0.33854	1.7615	0.035142	0.31652	0.078154	0.54154	0.5274	0.10132
Inhbb	5	-0.16	-1.0475	0.64303	0.96443	0.29487	0.7808	-0.058676	-0.38428	0.92114	0.99429	0.70077	0.90236	0.66322	0.101324
Emx1	5	-0.11051	-0.80862	0.77194	0.98648	0.41873	0.81698	-0.0091846	-0.067239	0.89884	0.99417	0.94639	0.9849	0.741381	0.1013254
Il7r	5	0.059683	0.35425	0.60132	0.95652	0.72315	0.91789	0.16102	0.95698	0.28797	0.81141	0.33858	0.76101	0.60273	0.101337
Tll2	5	-0.022815	-0.18439	0.93306	0.99926	0.85371	0.95839	0.078524	0.63495	0.55852	0.95187	0.52546	0.83632	0.81934	0.101339
Olfr623	2	0.0040674	0.045952	0.98212	0.99969	0.96335	0.98957	0.10542	1.191	0.6865	0.97931	0.23365	0.73404	1.145048	0.1013526
Mtg1	5	-0.82167	-2.6655	0.039971	0.3352	0.0076885	0.090697	-0.7203	-2.3442	0.066944	0.43784	0.019066	0.18714	0.3213	0.10137
Tmem217	5	-0.038396	-0.22927	0.9905	0.99969	0.81866	0.94874	0.063008	0.37641	0.61935	0.96691	0.70661	0.90447	0.60568	0.101404
Nek5	5	0.098905	0.6572	0.44955	0.89845	0.51106	0.85058	0.20031	1.331	0.18886	0.69852	0.18317	0.71703	0.6738	0.101405
Gpr176	5	0.038339	0.241	0.68943	0.9751	0.80956	0.94579	0.13975	0.87874	0.3508	0.86415	0.37954	0.77747	0.63774	0.101411
Meiob	5	0.084929	0.6986	0.50057	0.9203	0.4848	0.84238	0.18635	1.5333	0.21917	0.73526	0.12519	0.66142	0.8347	0.101421
Prdm2	5	0.10237	0.5264	0.43845	0.89269	0.59861	0.87881	0.2038	1.0482	0.18208	0.69178	0.29452	0.74908	0.5218	0.10143
Cmss1	5	-0.014286	-0.076671	0.89951	0.99658	0.93889	0.98377	0.08716	0.46786	0.52584	0.94217	0.63988	0.88119	0.544531	0.101446
Vmac	5	0.0025287	0.016653	0.8339	0.99117	0.98671	0.99709	0.10403	0.68664	0.46784	0.92588	0.49231	0.82206	0.669987	0.1015013
Gpsm2	5	0.013601	0.082572	0.79054	0.98959	0.93419	0.98235	0.11512	0.69893	0.42977	0.91214	0.48459	0.81976	0.616358	0.101519
Rnf123	5	-0.2006	-1.5376	0.55934	0.94154	0.12414	0.6639	-0.099069	-0.76087	0.79424	0.99033	0.44673	0.8012	0.77673	0.101531
Arrdc4	5	0.061036	0.44214	0.59592	0.95558	0.65839	0.89897	0.16257	1.1781	0.28375	0.80728	0.23876	0.73668	0.73596	0.101534
Fpgs	5	-0.59437	-2.632	0.12325	0.56983	0.0084893	0.098767	-0.49282	-2.1844	0.1883	0.69852	0.028936	0.26479	0.4476	0.10155
Impa2	5	-0.011142	-0.10304	0.88738	0.99465	0.91793	0.97787	0.090416	0.83667	0.51475	0.93908	0.40278	0.7867	0.93971	0.101558
Abcb8	5	0.053383	0.32042	0.62592	0.9613	0.74865	0.9281	0.15499	0.93075	0.30446	0.82696	0.35198	0.76618	0.61033	0.101607
Ctnna2	5	-0.13168	-0.83208	0.71398	0.97819	0.40536	0.81168	-0.030073	-0.19012	0.97996	0.99874	0.84922	0.9551	0.64196	0.101607
Cxcl16	5	-0.012577	-0.057949	0.89242	0.9948	0.95379	0.98685	0.08909	0.41106	0.51942	0.94108	0.68103	0.89637	0.469009	0.101667
Rap2b	5	0.07343	0.38311	0.54506	0.93612	0.70164	0.91157	0.1751	0.91437	0.24856	0.77124	0.36052	0.76867	0.53126	0.10167
Nifk	5	-1.7302	-4.3205	0.00041102	0.016393	1.56E-05	0.00069085	-1.6285	-4.0735	0.00061652	0.021544	4.63E-05	0.0015487	0.247	0.1017
Snx14	5	0.04721	0.24117	0.65089	0.96523	0.80942	0.94579	0.14892	0.76108	0.3229	0.84374	0.44661	0.8012	0.51991	0.10171
Aamdc	5	0.069019	0.21084	0.56309	0.94259	0.83302	0.95321	0.17076	0.52294	0.26064	0.78444	0.60102	0.86754	0.3121	0.101741
Ptprf	5	0.096773	0.83412	0.45828	0.90421	0.40421	0.81168	0.19853	1.7115	0.1923	0.70317	0.086987	0.56797	0.87738	0.101757
Vmn2r109	5	0.19706	1.0427	0.16934	0.65411	0.29707	0.78169	0.29882	1.5814	0.058364	0.4104	0.11379	0.63901	0.5387	0.10176
Htra4	5	0.14871	0.44299	0.29172	0.8055	0.65777	0.89895	0.25047	0.74652	0.10748	0.554	0.45535	0.80571	0.30353	0.10176
Efnb3	5	-0.01899	-0.14819	0.91888	0.99789	0.88219	0.9675	0.08281	0.64696	0.5428	0.94855	0.51766	0.83222	0.79515	0.1018
Ferd3l	5	0.017904	0.086616	0.77291	0.98669	0.93098	0.98182	0.11973	0.57996	0.41451	0.90327	0.56194	0.85058	0.493344	0.101826
Calm2	5	-0.029333	-0.25821	0.95772	0.99926	0.79625	0.94236	0.072515	0.63851	0.58133	0.96069	0.52314	0.83513	0.89672	0.101848
Pik3c2a	5	-0.17888	-1.2377	0.60229	0.95699	0.21584	0.74736	-0.077009	-0.53301	0.86169	0.99376	0.59403	0.86401	0.70469	0.101871
Syt16	5	0.25536	0.68758	0.077887	0.46646	0.49172	0.84488	0.35724	0.96356	0.026305	0.26611	0.33527	0.7605	0.27598	0.10188
Ide	5	0.042232	0.2404	0.67247	0.97316	0.81002	0.94602	0.14412	0.82073	0.33842	0.85718	0.4118	0.7879	0.58033	0.101888
Fam60a	2	-0.29669	-1.6354	0.39689	0.87397	0.10197	0.61809	-0.19477	-1.0742	0.52153	0.94201	0.28275	0.74728	0.5612	0.10192
Eif4g1	5	-0.59066	-2.6038	0.12515	0.57223	0.0092209	0.10564	-0.48873	-2.1558	0.19138	0.70164	0.031099	0.28119	0.448	0.10193
Adss	5	-0.51224	-2.4561	0.17622	0.66383	0.014045	0.15004	-0.4103	-1.9685	0.25925	0.78288	0.049014	0.40017	0.4876	0.10194
Arhgap1	5	0.0014181	0.005606	0.83873	0.99117	0.99553	0.99876	0.10337	0.4087	0.47005	0.92606	0.68276	0.8969	0.403094	0.1019519
Plcb3	5	-0.037779	-0.39378	0.98859	0.99969	0.69374	0.91037	0.064201	0.66934	0.61442	0.96568	0.50328	0.8261	1.06312	0.10198
Sash3	5	0.23608	1.2127	0.10142	0.52527	0.22523	0.75503	0.33807	1.7383	0.035347	0.31764	0.082166	0.55392	0.5256	0.10199
4833427G06Rik	5	0.1489	0.6504	0.29115	0.8052	0.51543	0.85088	0.25093	1.098	0.10686	0.55216	0.27221	0.74585	0.4476	0.10203
Rtn4r	5	-0.20353	-1.6759	0.55328	0.93817	0.093749	0.59515	-0.10149	-0.8367	0.78797	0.98891	0.40276	0.7867	0.8392	0.10204
Gpr173	5	-0.045031	-0.35954	0.98752	0.99969	0.71919	0.91741	0.057037	0.45551	0.6419	0.97135	0.64874	0.88424	0.81505	0.102068
Galr2	5	-0.087225	-0.52522	0.84315	0.99117	0.59943	0.87926	0.014853	0.089461	0.80785	0.99168	0.92872	0.98008	0.614681	0.102078
Sec23b	5	-0.0028915	-0.014906	0.85383	0.99148	0.98811	0.99728	0.09921	0.51219	0.48346	0.92902	0.60852	0.87035	0.527096	0.1021015
Xpr1	5	-0.024137	-0.13053	0.93819	0.99926	0.89614	0.97114	0.07798	0.42181	0.5598	0.95187	0.67317	0.89345	0.55234	0.102117
Fbxw16	3	0.04356	0.13876	0.78088	0.98858	0.88964	0.96927	0.14574	0.46434	0.45402	0.92254	0.64241	0.88285	0.32558	0.10218
Metap1	5	-1.5773	-4.4182	0.00087341	0.025788	9.95E-06	0.00049535	-1.4751	-4.1378	0.0015413	0.040431	3.51E-05	0.0012639	0.2804	0.1022
Cldn34b4	5	0.027264	0.18792	0.73289	0.97927	0.85094	0.95761	0.12949	0.89284	0.38373	0.88518	0.37194	0.77448	0.70492	0.102226
F2rl3	5	-0.23163	-1.4607	0.50226	0.92061	0.1441	0.69023	-0.12937	-0.81635	0.70828	0.97994	0.4143	0.78846	0.64435	0.10226
Natd1	5	0.19554	0.99696	0.17211	0.65802	0.31878	0.78516	0.2978	1.5184	0.058929	0.41155	0.12892	0.67077	0.52144	0.10226
Zmat2	5	-0.465	-1.5712	0.21655	0.72316	0.11614	0.64709	-0.36271	-1.2264	0.31057	0.83292	0.22007	0.72877	0.3448	0.10229
Rpa2	5	-1.5108	-3.8789	0.0011303	0.030261	0.00010495	0.0028785	-1.4085	-3.6325	0.0019523	0.045455	0.00028069	0.0060975	0.2464	0.1023
Tatdn1	5	0.21598	0.91785	0.13312	0.58913	0.35869	0.79756	0.31828	1.3531	0.046753	0.37134	0.17604	0.71073	0.43525	0.1023
Lpin2	5	-0.026599	-0.12086	0.94796	0.99926	0.9038	0.97347	0.07571	0.34551	0.56992	0.95794	0.72971	0.91127	0.46637	0.102309
Zfp574	5	-0.89617	-3.4553	0.028566	0.27684	0.00054966	0.010752	-0.79386	-3.0655	0.046239	0.37007	0.0021732	0.03124	0.3898	0.10231
Atat1	5	0.028568	0.15596	0.72781	0.97886	0.87607	0.96527	0.13091	0.71497	0.37937	0.88368	0.47463	0.81515	0.55901	0.102342
Zdhhc18	5	-0.030792	-0.15051	0.96337	0.99926	0.88036	0.96713	0.071586	0.35016	0.58508	0.96243	0.72622	0.91011	0.50067	0.102378
Rnf151	5	-0.033105	-0.15936	0.97113	0.99926	0.87338	0.96439	0.069279	0.33359	0.59361	0.96243	0.73869	0.9145	0.49295	0.102384
Cinp	5	-2.0014	-4.9348	5.14E-05	0.0028249	8.02E-07	8.75E-05	-1.899	-4.6971	0	0	2.64E-06	0.00021673	0.2377	0.1024
Abcg4	5	-0.11134	-0.72485	0.76911	0.98617	0.46854	0.83634	-0.0089348	-0.058194	0.89771	0.99417	0.95359	0.98733	0.666656	0.1024052
Tmco6	5	0.143	0.90679	0.30862	0.81911	0.36452	0.80025	0.24541	1.5569	0.1137	0.56744	0.11949	0.6512	0.65011	0.10241
Cfap58	5	0.10591	0.41203	0.42699	0.88983	0.68031	0.90684	0.20835	0.81081	0.17355	0.67872	0.41747	0.78975	0.39878	0.10244
Gm4858	3	0.07402	0.37007	0.67191	0.9727	0.71133	0.91359	0.17648	0.88236	0.36986	0.87527	0.37758	0.77673	0.51229	0.10246
Nras	5	0.05227	0.26951	0.63045	0.96161	0.78754	0.9399	0.15473	0.79798	0.30554	0.82827	0.42488	0.79343	0.52847	0.10246
Tlx2	5	-0.12881	-0.99632	0.72231	0.97861	0.31909	0.78516	-0.026316	-0.20402	0.96655	0.99816	0.83834	0.95135	0.7923	0.102494
Polr1b	5	-1.6106	-3.8995	0.00071928	0.02314	9.64E-05	0.0027011	-1.5081	-3.6768	0.0013872	0.038244	0.00023618	0.005323	0.2227	0.1025
Smc1a	5	-1.7138	-4.7203	0.00046239	0.018036	2.35E-06	0.00018731	-1.6113	-4.4398	0.00077065	0.025997	9.01E-06	0.00049656	0.2805	0.1025
Phykpl	5	0.055211	0.20378	0.61812	0.95872	0.83852	0.95413	0.15772	0.5827	0.29706	0.82096	0.5601	0.84967	0.37892	0.102509
Spag11b	5	0.4103	1.2578	0.0061652	0.10187	0.20847	0.74023	0.51281	1.5722	0.0020551	0.047114	0.11589	0.64376	0.3144	0.10251
Jph4	5	0.0082712	0.05276	0.81196	0.99117	0.95792	0.98829	0.11081	0.70705	0.44549	0.91912	0.47953	0.8177	0.65429	0.1025388
Pard6b	5	-0.061519	-0.43511	0.92941	0.99856	0.66348	0.90137	0.04109	0.29108	0.7035	0.97931	0.77099	0.92788	0.72619	0.102609
Dlgap3	5	0.11101	0.58028	0.40814	0.87968	0.56173	0.86463	0.21363	1.1174	0.16302	0.65912	0.26382	0.7453	0.53712	0.10262
Fam50b	5	-0.051174	-0.29575	0.96753	0.99926	0.76742	0.93392	0.051491	0.29772	0.66435	0.97666	0.76592	0.92572	0.59347	0.102665
Epc2	5	-0.58456	-3.1745	0.12829	0.57887	0.0015008	0.024002	-0.48186	-2.6189	0.19667	0.70604	0.0088201	0.097932	0.5556	0.1027
Wfdc9	5	0.048213	0.37955	0.64694	0.96443	0.70428	0.91235	0.15094	1.1885	0.31689	0.83611	0.23465	0.73432	0.80895	0.102727
Ctsf	5	-0.36764	-2.2608	0.31093	0.82144	0.023773	0.22693	-0.26489	-1.6299	0.44071	0.91571	0.10312	0.61698	0.6309	0.10275
Dnaic1	5	0.18549	0.62588	0.19544	0.6995	0.53139	0.85654	0.28825	0.97332	0.066328	0.4363	0.3304	0.75948	0.34744	0.10276
Dfnb59	5	-0.10061	-0.75397	0.80436	0.99117	0.45087	0.83064	0.0021519	0.016133	0.8582	0.99376	0.98713	0.99608	0.770103	0.1027619
Rab7b	5	-0.047857	-0.37408	0.97801	0.99942	0.70834	0.91308	0.05492	0.42933	0.65064	0.97551	0.66769	0.89061	0.80341	0.102777
Zfp592	5	0.16248	0.60768	0.2518	0.76722	0.5434	0.8607	0.26526	0.99289	0.090166	0.51136	0.32076	0.75835	0.38521	0.10278
Shbg	5	-0.033637	-0.29595	0.97277	0.99926	0.76727	0.93392	0.069189	0.60882	0.59392	0.96243	0.54265	0.84457	0.90477	0.102826
Wdr5b	5	0.048763	0.29437	0.64452	0.96443	0.76848	0.93418	0.1516	0.91548	0.31535	0.83611	0.35994	0.76828	0.62111	0.102837
Ermap	5	-0.13558	-0.9134	0.70356	0.97702	0.36103	0.79834	-0.032696	-0.22032	0.98983	0.99974	0.82562	0.94685	0.69308	0.102884
Zfp395	5	0.048175	0.30387	0.64719	0.96443	0.76122	0.93168	0.15106	0.95474	0.31664	0.83611	0.33971	0.76176	0.65087	0.102885
Dpy19l4	5	0.12291	0.73251	0.36873	0.8583	0.46386	0.83506	0.22584	1.3465	0.14288	0.62382	0.17814	0.71255	0.61399	0.10293
Zfp26	5	-0.016317	-0.068144	0.90798	0.99747	0.94567	0.98532	0.086626	0.36226	0.52759	0.9426	0.71716	0.90724	0.430404	0.102943
Dda1	5	-0.32782	-1.7569	0.35722	0.85177	0.078941	0.5414	-0.22487	-1.206	0.50483	0.93528	0.22782	0.72992	0.5509	0.10295
Ifnl2	4	-0.11016	-0.51326	0.74481	0.98212	0.60777	0.88246	-0.0072023	-0.033621	0.93336	0.99612	0.97318	0.99314	0.479639	0.1029577
Mrgprg	5	-0.23625	-1.8796	0.49497	0.91763	0.060161	0.45493	-0.13326	-1.0614	0.69867	0.97931	0.2885	0.74832	0.8182	0.10299
4933434E20Rik	5	-0.2355	-1.6365	0.49661	0.91856	0.10173	0.61737	-0.13248	-0.92116	0.70037	0.97931	0.35697	0.76791	0.71534	0.10302
Snurf	2	0.1873	0.56034	0.42879	0.89086	0.57525	0.86983	0.29033	0.8686	0.23603	0.75812	0.38507	0.78073	0.30826	0.10303
Gm16314	5	-0.011606	-0.093876	0.88877	0.99477	0.92521	0.97976	0.091438	0.74011	0.51115	0.93754	0.45923	0.80756	0.833986	0.103044
Sf3b1	5	-1.2065	-3.5154	0.0061139	0.10171	0.00043908	0.0088931	-1.1034	-3.2195	0.010173	0.14153	0.0012843	0.020143	0.2959	0.1031
Foxp4	5	-0.0064118	-0.034567	0.86837	0.99329	0.97243	0.99238	0.096732	0.52248	0.49204	0.93262	0.60134	0.86754	0.557047	0.1031438
Olfr572	5	0.081633	0.62994	0.51326	0.92485	0.52873	0.8559	0.18481	1.4262	0.22282	0.74053	0.15381	0.69767	0.79626	0.103177
Olfr152	5	-0.068775	-0.2641	0.90357	0.99712	0.7917	0.94094	0.03442	0.13226	0.73027	0.98337	0.89478	0.96869	0.39636	0.103195
2300009A05Rik	5	-0.1748	-1.2073	0.61041	0.95845	0.22733	0.75571	-0.071566	-0.4947	0.87952	0.99417	0.62081	0.87446	0.7126	0.103234
Jchain	5	0.10921	0.60911	0.41513	0.88375	0.54245	0.8607	0.21246	1.186	0.16533	0.66241	0.23563	0.73534	0.57689	0.10325
Pknox1	5	-0.065167	-0.5168	0.91687	0.99771	0.60529	0.88174	0.038093	0.30225	0.71424	0.98026	0.76246	0.92446	0.81905	0.10326
Zfp82	5	-0.054009	-0.41328	0.95736	0.99926	0.6794	0.90654	0.049271	0.37711	0.67396	0.97887	0.70609	0.90409	0.79039	0.10328
Pdcd4	5	0.068722	0.43395	0.56432	0.943	0.66433	0.90157	0.17208	1.0871	0.25704	0.78038	0.27699	0.74728	0.65315	0.103358
Med27	5	-0.29776	-1.2908	0.39612	0.87346	0.19678	0.73182	-0.1943	-0.84311	0.56324	0.95438	0.39917	0.78548	0.44769	0.10346
Adamts18	5	0.010574	0.087193	0.80348	0.99117	0.93052	0.98168	0.11405	0.94067	0.43383	0.91339	0.34688	0.76356	0.853477	0.103476
Clcc1	5	-0.24976	-1.5633	0.47195	0.91132	0.11797	0.65191	-0.14628	-0.9165	0.66677	0.97667	0.3594	0.76814	0.6468	0.10348
Krt19	5	0.042966	0.18905	0.66898	0.97172	0.85006	0.95705	0.14649	0.64595	0.33025	0.85065	0.51831	0.83238	0.4569	0.103524
Plxna4	5	0.053702	0.3243	0.62479	0.96106	0.74571	0.92733	0.15726	0.94968	0.2985	0.82351	0.34227	0.76237	0.62538	0.103558
Vmn2r57	5	0.06963	0.39364	0.56078	0.94225	0.69385	0.91037	0.17328	0.98044	0.25375	0.77635	0.32687	0.75948	0.5868	0.10365
Scgb3a2	5	0.14163	0.87161	0.31201	0.82201	0.38342	0.80346	0.2453	1.5101	0.1138	0.56751	0.13101	0.67301	0.63849	0.10367
Gm10093	4	-0.10245	-1.0744	0.76762	0.98601	0.28264	0.77787	0.0012304	0.012904	0.90285	0.99417	0.9897	0.99682	1.087304	0.1036804
H2-Q2	5	0.0057482	0.052433	0.82075	0.99117	0.95818	0.9884	0.10945	0.9986	0.45042	0.92026	0.31799	0.75669	0.946167	0.1037018
G6b	5	0.4284	0.9984	0.0043157	0.08	0.31809	0.78516	0.53211	1.2403	0.0014899	0.039563	0.21488	0.72877	0.2419	0.10371
Cyb5r2	5	-0.065843	-0.43992	0.91471	0.99771	0.66	0.89964	0.03788	0.25317	0.71527	0.98058	0.80014	0.93779	0.69309	0.103723
Stat5b	5	-0.25241	-1.6581	0.46727	0.90868	0.097298	0.6039	-0.14868	-0.97709	0.66071	0.97563	0.32852	0.75948	0.68101	0.10373
Fam110a	5	-0.040271	-0.18643	0.99671	0.99969	0.8521	0.95803	0.063463	0.29387	0.6175	0.96656	0.76886	0.92693	0.4803	0.103734
Slc15a1	5	-0.065417	-0.47638	0.91584	0.99771	0.6338	0.89244	0.038359	0.27947	0.71316	0.98018	0.77989	0.93054	0.75585	0.103776
1700066B19Rik	5	0.32881	1.0761	0.02574	0.25999	0.28187	0.77709	0.43262	1.416	0.0074497	0.11435	0.15678	0.69811	0.3399	0.10381
Tmprss5	5	-0.096768	-0.62653	0.8153	0.99117	0.53097	0.85645	0.0070486	0.045681	0.83749	0.99168	0.96356	0.99007	0.672211	0.1038166
Cacna1c	5	-0.25609	-1.1337	0.46111	0.9051	0.25691	0.76509	-0.15219	-0.6758	0.65274	0.97551	0.49917	0.82565	0.4579	0.1039
Trim63	5	-0.056651	-0.50009	0.9496	0.99926	0.61701	0.88515	0.047288	0.41764	0.68167	0.97931	0.67621	0.89463	0.91773	0.103939
Mast1	5	-0.017697	-0.1246	0.91333	0.99771	0.90084	0.97281	0.086271	0.60871	0.52872	0.9426	0.54272	0.84457	0.73331	0.103968
Prkar2a	5	0.096338	0.36847	0.45977	0.90492	0.71252	0.91404	0.20032	0.76736	0.18881	0.69852	0.44287	0.80074	0.39889	0.103982
Olfr918	5	-0.077561	-0.34697	0.87305	0.99329	0.72861	0.92048	0.026428	0.11834	0.76141	0.98712	0.9058	0.97278	0.46531	0.103989
Tnni2	5	0.11932	0.94258	0.38034	0.86266	0.3459	0.79354	0.22332	1.7651	0.14632	0.62847	0.07755	0.53889	0.82252	0.104
Ell2	5	-0.0519	-0.38987	0.96506	0.99926	0.69663	0.91097	0.052148	0.39236	0.66189	0.97563	0.69479	0.89975	0.78223	0.104048
Gm27027	5	0.034738	0.47316	0.70386	0.97702	0.6361	0.89297	0.13879	1.8906	0.35373	0.86603	0.058673	0.4539	1.41744	0.104052
Cd209b	5	-0.14231	-0.86897	0.68614	0.9751	0.38486	0.80394	-0.038253	-0.23372	0.99055	0.99974	0.8152	0.94335	0.63525	0.104057
Myl9	5	0.14706	0.86581	0.29639	0.808	0.38659	0.80503	0.25113	1.4803	0.10656	0.55216	0.1388	0.68135	0.61449	0.10407
Mafb	5	0.049785	0.20132	0.64046	0.96443	0.84045	0.95418	0.15386	0.62247	0.30862	0.83084	0.53363	0.84203	0.42115	0.104075
Foxd4	5	-0.32626	-1.8659	0.35907	0.85254	0.062051	0.46488	-0.22214	-1.2708	0.50956	0.93725	0.20379	0.7266	0.5951	0.10412
Ppp2r2d	5	-0.28403	-1.5517	0.41667	0.88444	0.12073	0.6554	-0.1799	-0.9838	0.59279	0.96243	0.32522	0.75948	0.5679	0.10413
Coro2a	5	0.057046	0.28142	0.6118	0.95845	0.77839	0.93684	0.16119	0.7954	0.28751	0.81125	0.42638	0.79395	0.51398	0.104144
Gabre	5	0.14031	0.68121	0.31556	0.8252	0.49574	0.84671	0.24451	1.1874	0.11488	0.57099	0.23506	0.73461	0.50619	0.1042
Nup50	5	-0.25655	-1.5391	0.46054	0.90505	0.12378	0.66333	-0.1523	-0.91414	0.65233	0.97551	0.36064	0.76875	0.62496	0.10425
Ephx3	5	-0.037136	-0.34256	0.98633	0.99969	0.73193	0.92179	0.067128	0.61936	0.60275	0.96488	0.53568	0.84254	0.96192	0.104264
Mcee	5	-0.030377	-0.14494	0.96178	0.99926	0.88476	0.96813	0.073907	0.35276	0.57604	0.95922	0.72427	0.90947	0.4977	0.104284
Bola2	5	-0.25649	-2.047	0.46059	0.90505	0.040662	0.34576	-0.15219	-1.2147	0.65274	0.97551	0.22447	0.72932	0.8323	0.1043
Npat	5	-1.2634	-3.0628	0.0044184	0.080903	0.0021926	0.032404	-1.1591	-2.8167	0.0080148	0.11972	0.0048523	0.059625	0.2461	0.1043
Fbxl8	5	0.13812	0.82135	0.32316	0.83212	0.41145	0.81503	0.24245	1.4419	0.1176	0.57657	0.14933	0.69073	0.62055	0.10433
Sapcd1	5	-0.19612	-1.6053	0.56828	0.94405	0.10843	0.63273	-0.091776	-0.75155	0.81463	0.99168	0.45232	0.80355	0.85375	0.104344
Trpc3	5	-0.10062	-0.91988	0.80436	0.99117	0.35764	0.79754	0.003747	0.034264	0.85224	0.99376	0.97267	0.99311	0.954144	0.104367
Stk11ip	5	-0.090272	-0.63461	0.83452	0.99117	0.52568	0.85442	0.014111	0.099246	0.81109	0.99168	0.92094	0.97739	0.733856	0.104383
Zswim7	5	0.08785	0.53549	0.49055	0.91681	0.59231	0.87665	0.19225	1.1735	0.20494	0.71416	0.24061	0.73709	0.63801	0.1044
Dock10	5	-0.041217	-0.29514	0.9999	0.9999	0.76789	0.93407	0.063213	0.45268	0.61863	0.96691	0.65078	0.88445	0.74782	0.10443
Kcnc1	5	-0.05869	-0.40669	0.94128	0.99926	0.68424	0.9074	0.045757	0.31716	0.68737	0.97931	0.75112	0.92014	0.72385	0.104447
Gsta4	5	-0.10723	-0.83749	0.78293	0.98858	0.40232	0.81162	-0.0027649	-0.021608	0.87562	0.99376	0.98276	0.99544	0.815882	0.1044651
Erlec1	5	0.15695	0.66664	0.26757	0.78555	0.505	0.84966	0.26145	1.1118	0.094277	0.52338	0.26624	0.74544	0.44516	0.1045
